,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
239,12,4,0,1,2,2,1,1,1,1,0,0,2020-12-16 01:40:36.103142,10.181.29.40
240,12,5,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:37.281822,10.181.29.40
241,12,6,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:38.414305,10.181.29.40
242,12,7,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:39.518525,10.181.29.40
243,12,8,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:40.621545,10.181.29.40
244,12,9,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:41.709780,10.181.29.40
245,12,10,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:42.848242,10.181.29.40
246,12,11,0,1,2,2,1,1,1,1,1,1,2020-12-16 01:40:44.142064,10.181.29.40
247,12,0,1,1,0,0,1,0,0,0,0,0,2020-12-16 02:19:15.000000,10.156.16.229
248,12,2,2,2,0,0,2,0,2,1,0,0,2020-12-16 02:19:25.714176,10.156.16.229
249,12,4,1,2,2,0,2,2,1,2,0,0,2020-12-16 02:19:36.464821,10.52.12.238
250,12,6,1,1,0,0,1,1,0,1,1,2,2020-12-16 02:19:43.537189,10.52.12.238
251,12,8,0,0,0,3,2,0,2,0,2,1,2020-12-16 02:20:00.627872,10.52.12.238
252,12,10,0,1,2,5,0,1,2,0,1,1,2020-12-16 02:20:17.293886,10.156.16.229
253,12,12,0,0,0,0,0,0,2,0,1,1,2020-12-16 02:20:32.608793,10.156.16.229
254,12,14,1,1,0,5,2,2,1,0,2,1,2020-12-16 02:21:06.083785,10.156.16.229
255,12,16,2,1,1,4,2,1,1,0,1,2,2020-12-16 02:21:22.542134,10.156.16.229
256,12,18,1,2,2,1,1,2,1,0,1,0,2020-12-16 02:21:34.286117,10.52.12.238
257,12,20,2,0,2,1,2,0,1,0,2,1,2020-12-16 02:21:50.575089,10.52.12.238
258,12,22,2,1,1,1,0,1,1,0,0,1,2020-12-16 02:22:01.312898,10.52.12.238
259,12,24,0,1,2,1,0,1,2,0,0,1,2020-12-16 02:22:13.033022,10.52.12.238
260,12,26,2,2,0,1,1,2,1,0,0,0,2020-12-16 02:22:22.193136,10.156.16.229
